[2025-06-12 03:59:13,236.236] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,238.238] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,298.298] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,313.313] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,375.375] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,390.390] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,452.452] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,467.467] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,530.530] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,532.532] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,591.591] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,593.593] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,654.654] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,656.656] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,714.714] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,731.731] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,791.791] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,794.794] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,855.855] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,869.869] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,932.932] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,935.935] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:13,994.994] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:13,995.995] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,055.055] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:14,057.057] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,117.117] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:14,120.120] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,179.179] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:14,182.182] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,242.242] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:14,244.244] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,303.303] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:14,306.306] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,366.366] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
[2025-06-12 03:59:14,367.367] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | http://localhost:6099 "POST /api/QQLogin/GetQQLoginInfo HTTP/1.1" 200 67
[2025-06-12 03:59:14,427.427] DEBUG    [MainThread|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:246) | Starting new HTTP connection (1): localhost:6099
